FromNodeId,ToNodeId
0,2
0,12
0,21
0,25
0,33
0,45
0,54
0,69
0,78
0,131
0,164
0,209
0,211
0,217
0,225
0,254
0,301
0,325
0,366
0,430
0,439
0,456
0,496
0,505
0,540
0,558
0,574
0,593
0,639
0,823
0,837
0,845
0,888
0,929
0,930
0,1022
0,1037
0,1076
0,1141
0,1151
0,1237
0,1239
0,1267
0,1269
0,1316
0,1403
0,1427
0,1571
0,1589
0,1606
0,1609
0,1624
0,1640
0,1722
0,1732
0,1771
0,1831
0,1836
0,1840
0,1888
0,1892
0,2042
0,2068
0,2298
0,2313
0,2394
0,2545
0,2564
0,2588
0,2646
0,2740
0,2786
0,2796
0,2881
0,2894
0,2911
0,2923
0,2934
0,2970
0,2975
0,3032
0,3105
0,3163
0,3209
0,3287
0,3364
0,3368
0,3446
0,3524
0,3833
0,3839
0,3853
0,4023
0,4345
0,4349
0,4363
0,4675
0,4735
0,4905
0,4971
0,4979
0,4993
0,5064
0,5096
0,5133
0,5229
0,5324
0,5347
0,5434
0,5468
0,5595
0,5668
0,5787
0,5860
0,5916
0,6254
0,6320
0,6347
0,6530
0,6637
0,6895
0,6961
0,7035
0,7118
0,7261
0,7277
0,7353
0,7541
0,7560
0,7650
0,7720
0,7731
1,2
1,3
1,7
1,13
1,16
1,17
1,18
1,87
1,265
1,564
1,648
1,903
1,1607
1,1697
1,1779
1,1805
1,1858
1,1923
1,2003
1,2546
1,2574
1,2636
1,2678
1,3766
1,4053
1,4610
1,5081
1,5460
1,6869
1,7112
2,3
2,4
2,6
2,8
2,10
2,14
2,24
2,27
2,31
2,32
2,35
2,36
2,41
2,44
2,47
2,49
2,52
2,56
2,63
2,64
2,74
2,79
2,83
2,88
2,92
2,119
2,134
2,143
2,153
2,165
2,175
2,202
2,210
2,223
2,228
2,234
2,236
2,248
2,251
2,269
2,289
2,312
2,329
2,333
2,339
2,340
2,364
2,379
2,446
2,452
2,454
2,466
2,483
2,487
2,507
2,529
2,558
2,572
2,574
2,580
2,585
2,608
2,610
2,619
2,620
2,621
2,657
2,671
2,677
2,686
2,688
2,720
2,736
2,750
2,792
2,796
2,814
2,816
2,851
2,873
2,877
2,924
2,966
2,1003
2,1014
2,1035
2,1059
2,1064
2,1088
2,1092
2,1131
2,1194
2,1199
2,1208
2,1241
2,1281
2,1304
2,1313
2,1337
2,1345
2,1350
2,1366
2,1386
2,1418
2,1503
2,1529
2,1563
2,1566
2,1593
2,1650
2,1661
2,1679
2,1683
2,1684
2,1725
2,1744
2,1754
2,1756
2,1792
2,1798
2,1822
2,1855
2,1882
2,1925
2,1941
2,1959
2,1964
2,2002
2,2024
2,2055
2,2117
2,2137
2,2138
2,2237
2,2251
2,2302
2,2314
2,2446
2,2495
2,2529
2,2543
2,2544
2,2606
2,2613
2,2617
2,2670
2,2758
2,2766
2,2773
2,2789
2,2794
2,2847
2,2917
2,2935
2,3052
2,3103
2,3120
2,3136
2,3156
2,3167
2,3168
2,3177
2,3317
2,3348
2,3430
2,3503
2,3508
2,3641
2,3677
2,3746
2,3767
2,3777
2,3789
2,3811
2,3831
2,3880
2,3908
2,3995
2,4005
2,4018
2,4101
2,4227
2,4228
2,4260
2,4289
2,4313
2,4440
2,4467
2,4567
2,4713
2,4720
2,4750
2,4802
2,4865
2,4898
2,4914
2,4924
2,4938
2,4972
2,5086
2,5104
2,5105
2,5219
2,5223
2,5359
2,5440
2,5471
2,5550
2,5619
2,5655
2,5755
2,5829
2,5865
2,5895
2,5908
2,6042
2,6238
2,6256
2,6268
2,6384
2,6583
2,6601
2,6609
2,6622
2,6781
2,6903
2,6913
2,6992
2,7026
2,7103
2,7115
2,7197
2,7287
2,7316
2,7320
2,7331
2,7362
2,7574
2,7610
2,7703
2,7735
2,7889
2,7917
2,7930
2,7942
2,7998
3,4
3,5
3,7
3,14
3,16
3,31
3,69
3,106
3,127
3,130
3,189
3,197
3,247
3,301
3,328
3,338
3,382
3,498
3,500
3,952
3,1176
3,1329
3,1460
3,1551
3,1728
3,1845
3,1942
3,2029
3,2097
3,2481
3,2723
3,3077
3,3134
3,3513
3,3683
3,3704
3,3711
3,3855
3,4382
3,4475
3,4592
3,4817
3,4875
3,4888
3,5226
3,5622
3,6032
3,6117
3,6300
3,6540
3,6663
3,6821
3,6877
3,6918
3,6929
3,7052
3,7180
3,7753
3,7896
4,5
4,11
4,21
4,24
4,26
4,28
4,29
4,30
4,32
4,35
4,36
4,56
4,61
4,86
4,91
4,93
4,109
4,138
4,142
4,154
4,183
4,192
4,194
4,206
4,210
4,294
4,297
4,300
4,374
4,386
4,433
4,531
4,576
4,581
4,605
4,658
4,779
4,782
4,788
4,844
4,911
4,918
4,980
4,983
4,986
4,1022
4,1041
4,1056
4,1066
4,1113
4,1131
4,1137
4,1190
4,1240
4,1359
4,1414
4,1477
4,1546
4,1638
4,1639
4,1665
4,1770
4,1782
4,1831
4,1927
4,2003
4,2006
4,2052
4,2080
4,2162
4,2204
4,2205
4,2309
4,2331
4,2336
4,2360
4,2433
4,2458
4,2466
4,2474
4,2477
4,2568
4,2884
4,2886
4,3072
4,3146
4,3236
4,3284
4,3357
4,3360
4,3361
4,3371
4,3406
4,3537
4,3584
4,3587
4,3618
4,3642
4,3649
4,3655
4,3760
4,3799
4,3858
4,4047
4,4081
4,4086
4,4191
4,4210
4,4224
4,4262
4,4564
4,4622
4,4765
4,4832
4,5020
4,5061
4,5171
4,5213
4,5229
4,5369
4,5390
4,5397
4,5659
4,5715
4,5873
4,6213
4,6327
4,6408
4,6481
4,6487
4,6653
4,6711
4,6803
4,6831
4,6999
4,7077
4,7243
4,7351
4,7506
4,7592
4,7711
4,7793
4,7798
4,7823
4,7861
5,6
5,8
5,9
5,10
5,11
5,13
5,15
5,18
5,20
5,26
5,30
5,34
5,43
5,44
5,46
5,50
5,57
5,60
5,61
5,62
5,67
5,71
5,75
5,80
5,90
5,101
5,103
5,105
5,108
5,114
5,125
5,126
5,130
5,134
5,141
5,142
5,156
5,173
5,185
5,194
5,217
5,219
5,230
5,243
5,249
5,250
5,252
5,268
5,274
5,277
5,306
5,337
5,352
5,356
5,357
5,358
5,373
5,377
5,378
5,382
5,393
5,437
5,451
5,483
5,511
5,530
5,562
5,563
5,565
5,573
5,578
5,582
5,610
5,649
5,662
5,667
5,685
5,715
5,716
5,722
5,738
5,753
5,762
5,766
5,769
5,778
5,819
5,855
5,862
5,885
5,897
5,911
5,917
5,954
5,962
5,964
5,978
5,990
5,1017
5,1034
5,1081
5,1164
5,1207
5,1213
5,1218
5,1248
5,1323
5,1325
5,1326
5,1336
5,1358
5,1376
5,1389
5,1422
5,1437
5,1456
5,1480
5,1488
5,1498
5,1507
5,1515
5,1549
5,1574
5,1590
5,1596
5,1625
5,1656
5,1662
5,1664
5,1709
5,1710
5,1736
5,1762
5,1766
5,1810
5,1866
5,1875
5,1881
5,1885
5,1913
5,1938
5,1947
5,1961
5,1971
5,1983
5,2032
5,2116
5,2136
5,2188
5,2193
5,2278
5,2384
5,2437
5,2438
5,2460
5,2478
5,2584
5,2627
5,2647
5,2677
5,2710
5,2749
5,2946
5,3040
5,3120
5,3223
5,3252
5,3283
5,3333
5,3343
5,3369
5,3387
5,3392
5,3451
5,3520
5,3624
5,3685
5,3740
5,3761
5,3777
5,3821
5,3841
5,3910
5,4006
5,4015
5,4053
5,4214
5,4218
5,4279
5,4306
5,4332
5,4386
5,4421
5,4453
5,4457
5,4487
5,4556
5,4559
5,4595
5,4664
5,4727
5,4743
5,4795
5,4912
5,4913
5,4994
5,4999
5,5038
5,5059
5,5073
5,5190
5,5226
5,5236
5,5255
5,5285
5,5286
5,5326
5,5369
5,5420
5,5574
5,5716
5,5727
5,5750
5,5780
5,5789
5,5810
5,5850
5,5873
5,5880
5,5896
5,5935
5,5968
5,5977
5,6021
5,6074
5,6121
5,6122
5,6160
5,6209
5,6220
5,6228
5,6248
5,6260
5,6365
5,6412
5,6457
5,6472
5,6482
5,6525
5,6553
5,6661
5,6782
5,6883
5,6894
5,6936
5,6953
5,6982
5,7027
5,7144
5,7167
5,7230
5,7243
5,7264
5,7269
5,7380
5,7483
5,7586
5,7723
5,7750
5,7806
5,7901
6,37
6,81
6,138
6,170
6,207
6,220
6,253
6,430
6,471
6,505
6,522
6,773
6,856
6,1254
6,1573
6,1844
6,2288
6,2420
6,2518
6,2593
6,3159
6,3400
6,3423
6,3677
6,3759
6,4129
6,4363
6,5796
6,6334
6,6655
7,9
7,17
7,19
7,25
7,38
7,39
7,52
7,54
7,72
7,73
7,96
7,113
7,116
7,117
7,121
7,139
7,158
7,159
7,176
7,179
7,190
7,195
7,196
7,202
7,207
7,215
7,216
7,305
7,357
7,394
7,395
7,407
7,434
7,436
7,477
7,546
7,547
7,584
7,612
7,632
7,702
7,791
7,870
7,963
7,981
7,1146
7,1149
7,1169
7,1186
7,1212
7,1261
7,1298
7,1371
7,1372
7,1447
7,1601
7,1604
7,1605
7,1643
7,1693
7,1797
7,1848
7,1913
7,2045
7,2074
7,2240
7,2246
7,2264
7,2287
7,2388
7,2402
7,2414
7,2441
7,2450
7,2534
7,2592
7,2593
7,2636
7,2653
7,2785
7,2817
7,2829
7,2999
7,3051
7,3190
7,3208
7,3218
7,3253
7,3267
7,3303
7,3350
7,3381
7,3417
7,3467
7,3495
7,3561
7,3592
7,3601
7,3843
7,3906
7,3924
7,4058
7,4099
7,4110
7,4194
7,4207
7,4374
7,4394
7,4514
7,4583
7,4600
7,4633
7,4670
7,4676
7,4727
7,4736
7,4828
7,4866
7,4903
7,4982
7,4984
7,5128
7,5237
7,5563
7,5673
7,5731
7,5740
7,5760
7,5766
7,5782
7,5828
7,5855
7,5864
7,5994
7,6102
7,6129
7,6211
7,6238
7,6299
7,6402
7,6598
7,6603
7,6639
7,6680
7,6694
7,6702
7,6940
7,6959
7,6971
7,6981
7,7019
7,7022
7,7090
7,7110
7,7113
7,7134
7,7177
7,7222
7,7235
7,7238
7,7278
7,7337
7,7340
7,7609
7,7630
7,7636
7,7692
7,7713
7,7727
7,7733
7,7855
8,316
8,633
8,1633
8,2318
8,4386
8,5842
8,5988
9,42
9,95
9,137
9,323
9,464
9,487
9,843
9,1223
9,1600
9,2505
9,2742
9,2963
9,2997
9,3051
9,3057
9,3135
9,3216
9,3525
9,4042
9,4065
9,5098
9,5123
9,5739
9,6215
9,6253
9,6797
9,7207
9,7401
9,7556
9,7725
10,22
10,42
10,76
10,87
10,93
10,111
10,219
10,231
10,348
10,437
10,447
10,450
10,463
10,472
10,486
10,524
10,539
10,622
10,811
10,814
10,1008
10,1251
10,1654
10,1719
10,2096
10,2211
10,2224
10,2300
10,2449
10,2827
10,2845
10,2859
10,2871
10,3061
10,3309
10,3492
10,3527
10,3590
10,3608
10,3739
10,4037
10,4225
10,4361
10,4379
10,4692
10,4707
10,4840
10,5206
10,5450
10,5461
10,5668
10,6082
10,6092
10,6165
10,6207
10,6384
10,7062
10,7083
10,7471
10,7550
10,7582
10,7886
11,12
11,15
11,23
11,40
11,67
11,110
11,114
11,122
11,136
11,156
11,212
11,222
11,223
11,243
11,261
11,314
11,408
11,420
11,445
11,480
11,533
11,550
11,585
11,591
11,594
11,608
11,625
11,658
11,701
11,705
11,755
11,941
11,998
11,1104
11,1220
11,1311
11,1396
11,1495
11,1645
11,1707
11,1780
11,1800
11,1865
11,1893
11,1990
11,2070
11,2109
11,2309
11,2328
11,2404
11,2459
11,2515
11,2561
11,2597
11,2792
11,2812
11,3157
11,3170
11,3316
11,3365
11,3466
11,3638
11,3944
11,4049
11,4137
11,4377
11,4407
11,4624
11,4649
11,4653
11,4984
11,5107
11,5172
11,5219
11,5273
11,5404
11,5541
11,5569
11,5599
11,5813
11,5819
11,5905
11,6126
11,6129
11,6166
11,6252
11,6644
11,6830
11,6839
11,7044
11,7065
11,7086
11,7314
11,7589
11,7691
11,7957
12,120
12,135
12,166
12,170
12,600
12,713
12,1552
12,1962
12,2893
12,2977
12,3773
12,3938
12,4195
12,5390
12,6416
12,6674
13,57
13,68
13,99
13,266
13,267
13,276
13,350
13,423
13,495
13,687
13,907
13,937
13,1012
13,1023
13,1203
13,1322
13,1712
13,1761
13,2306
13,2320
13,2555
13,2562
13,3579
13,4287
13,4301
13,4905
13,5719
13,5720
13,5877
13,6011
13,6040
13,6377
13,7700
13,7751
13,7869
14,29
14,38
14,97
14,174
14,242
14,299
14,336
14,427
14,462
14,596
14,602
14,647
14,804
14,961
14,981
14,1001
14,1189
14,1318
14,1335
14,1357
14,1867
14,1873
14,2016
14,2057
14,2067
14,2314
14,2853
14,3076
14,3234
14,3275
14,3591
14,3713
14,3775
14,3943
14,4364
14,4374
14,4714
14,4976
14,5018
14,5294
14,5521
14,5681
14,5842
14,5918
14,6303
14,6420
14,6563
14,6632
14,6829
14,6882
14,7074
14,7146
14,7258
14,7788
14,7856
15,34
15,53
15,55
15,62
15,80
15,123
15,150
15,227
15,241
15,245
15,381
15,401
15,432
15,563
15,569
15,641
15,677
15,684
15,696
15,735
15,746
15,777
15,798
15,841
15,849
15,919
15,931
15,963
15,1013
15,1020
15,1021
15,1100
15,1105
15,1119
15,1172
15,1176
15,1253
15,1265
15,1374
15,1405
15,1491
15,1526
15,1564
15,1635
15,1641
15,1669
15,1879
15,1933
15,2145
15,2157
15,2253
15,2328
15,2477
15,2551
15,2629
15,2915
15,2926
15,2951
15,3133
15,3277
15,3374
15,3489
15,3539
15,3644
15,3824
15,3926
15,3946
15,3964
15,3997
15,4111
15,4176
15,4287
15,4526
15,4585
15,4763
15,4800
15,4943
15,5192
15,5342
15,5707
15,5828
15,5913
15,6004
15,6030
15,6059
15,6242
15,6355
15,6506
15,6584
15,6691
15,6771
15,6860
15,6916
15,7045
15,7125
15,7437
15,7554
15,7975
16,22
16,429
16,1086
16,1199
16,2577
16,2757
16,3688
16,6783
