Node,SIR
0,10.743
2,21.57
12,4.218
21,5.469
25,4.543
33,6.631
45,3.59
54,3.573
69,3.606
78,3.107
131,2.524
164,3.412
209,4.119
211,3.055
217,4.67
225,2.676
254,2.337
301,3.673
325,2.911
366,2.416
430,2.956
439,2.635
456,2.245
496,2.537
505,2.538
540,2.659
558,4.649
574,3.843
593,2.443
639,2.281
823,2.407
837,2.848
845,2.059
888,2.374
929,2.775
930,2.487
1,8.799
3,11.971
7,14.264
13,6.747
16,3.567
17,7.555
18,8.087
87,3.317
265,2.725
564,2.382
648,2.229
903,2.32
4,17.098
6,8.014
8,5.968
10,10.348
14,6.808
24,6.437
27,4.987
31,7.484
32,6.049
35,5.4
36,4.823
41,5.153
44,5.421
47,4.994
49,3.852
52,5.418
56,6.818
63,7.522
64,5.142
74,3.817
79,4.23
83,4.557
88,4.067
92,4.5
119,3.51
134,7.483
143,3.857
153,4.587
165,4.807
175,3.7
202,4.16
210,5.061
223,4.814
228,4.36
234,3.42
236,4.472
248,4.199
251,3.734
269,4.085
289,4.095
312,4.253
329,3.763
333,3.99
339,3.795
340,4.361
364,3.729
379,3.17
446,3.669
452,3.488
454,3.4
466,3.424
483,6.002
487,3.996
507,3.32
529,3.026
572,3.887
580,3.62
585,4.73
608,3.985
610,5.16
619,3.316
620,3.071
621,3.988
657,3.668
671,3.677
677,4.468
686,3.346
688,3.668
720,4.615
736,4.061
750,3.425
792,3.993
796,3.061
814,4.029
816,3.589
851,3.786
873,3.521
877,3.611
924,3.302
966,3.459
5,24.711
106,3.518
127,4.863
130,5.677
189,2.666
197,2.33
247,2.899
328,3.051
338,2.725
382,5.361
498,3.193
500,2.731
952,2.945
11,13.644
26,9.449
28,6.633
29,3.121
30,7.365
61,5.841
86,5.3
91,4.581
93,3.801
109,3.889
138,3.587
142,5.79
154,3.671
183,3.987
192,3.786
194,4.719
206,3.747
294,3.87
297,2.938
300,3.532
374,3.406
386,2.909
433,4.855
531,2.935
576,3.2
581,3.287
605,3.364
658,4.161
779,3.221
782,3.446
788,3.597
844,3.471
911,4.994
918,2.904
980,3.223
983,3.186
986,3.387
9,6.684
15,10.378
20,4.503
34,6.359
43,4.658
46,3.832
50,7.2
57,4.569
60,7.323
62,6.234
67,7.787
71,6.544
75,3.928
80,5.691
90,5.428
101,5.822
103,5.181
105,4.297
108,4.301
114,7.657
125,4.697
126,4.991
141,5.408
156,5.44
173,4.976
185,5.254
219,5.908
230,4.159
243,5.525
249,4.411
250,3.936
252,3.759
268,5.402
274,4.622
277,4.861
306,4.006
337,4.062
352,4.3
356,3.784
357,5.295
358,4.692
373,4.307
377,4.273
378,4.215
393,3.984
437,4.941
451,3.645
511,3.748
530,4.055
562,4.745
563,4.364
565,3.84
573,3.666
578,3.719
582,3.893
649,4.369
662,4.222
667,3.906
685,4.004
715,3.935
716,4.276
722,3.622
738,4.163
753,4.3
762,4.544
766,3.913
769,3.875
778,4.246
819,3.456
855,3.608
862,4.317
885,4.151
897,4.113
917,4.187
954,3.646
962,3.989
964,3.948
978,3.912
990,3.695
37,4.122
81,4.023
170,3.112
207,3.671
220,2.224
253,2.509
471,2.519
522,2.316
773,2.074
856,2.45
19,6.9
38,4.397
39,4.738
72,4.208
73,3.835
96,3.364
113,4.348
116,2.863
117,4.842
121,2.914
139,4.61
158,3.006
159,2.688
176,4.093
179,3.474
190,3.462
195,3.097
196,2.693
215,3.385
216,3.665
305,2.841
394,2.866
395,3.54
407,2.763
434,2.98
436,3.146
477,2.984
546,2.236
547,3.261
584,2.731
612,2.85
632,2.649
702,2.996
791,3.057
870,2.959
963,3.469
981,2.735
316,1.942
633,2.152
42,3.143
95,3.808
137,1.978
323,2.88
464,1.985
843,1.811
22,2.939
76,4.714
111,4.751
231,2.521
348,2.254
447,2.424
450,2.092
