Node,SIR
1,576.999
2,505.062
3,547.176
4,744.728
5,161.417
6,479.497
7,139.61
8,828.478
9,146.24
10,1295.102
11,442.001
3942,701.254
3586,542.642
2937,547.724
3717,681.967
4814,469.744
6629,596.527
7341,449.476
7780,555.978
6878,452.925
973,623.481
2318,447.945
430,880.085
3493,511.822
474,385.203
1944,825.535
4544,1514.564
12,447.998
13,532.765
14,719.438
15,793.217
16,600.382
17,1220.659
18,466.863
19,701.028
20,213.367
21,185.216
3711,664.235
2352,521.399
5477,366.258
7252,292.472
7026,411.376
52,752.612
931,455.172
81,1663.819
2354,468.544
28,861.55
3539,936.044
729,624.862
22,1344.27
23,569.879
24,984.175
25,607.504
26,209.529
27,731.035
29,915.655
30,835.691
31,735.624
1278,725.796
1502,577.211
5338,604.342
3200,570.979
32,1575.344
33,1657.016
34,1654.075
35,1657.984
36,1653.332
37,1651.939
38,1653.881
39,1655.353
40,1622.367
41,1660.612
3825,497.893
5319,544.311
5858,603.878
5917,500.828
6732,471.187
5404,583.213
42,458.981
43,205.888
44,215.235
45,354.148
46,593.535
47,219.547
48,96.854
49,822.024
50,93.144
51,89.692
1564,898.646
1513,500.232
1530,305.87
1343,265.42
1531,455.282
1532,292.945
1533,456.462
1534,460.136
1631,773.867
7046,326.523
8070,445.526
262,1107.508
1569,476.312
1296,289.057
169,838.297
469,263.493
1632,70.144
1633,124.882
1634,650.299
1635,64.874
1636,407.555
1247,671.607
399,460.957
2259,174.013
2549,456.089
2550,258.532
451,658.47
2551,148.157
604,1087.233
2552,1247.105
2553,596.084
3734,687.438
5612,678.258
3206,428.344
539,1319.46
71,729.786
635,261.678
2556,466.047
2576,612.96
917,981.392
3212,154.599
3213,368.187
2678,993.747
3439,559.323
7368,396.6
7964,665.45
8110,870.672
1940,712.309
2301,703.687
3491,524.71
2615,384.299
4133,886.867
5306,764.763
864,666.127
185,1653.237
80,1657.489
320,1651.679
447,1661.161
189,1654.309
1340,1521.645
448,1662.318
1100,241.239
256,653.543
1505,1044.36
4268,278.806
4269,1205.57
1862,800.901
561,863.175
3936,231.66
2725,680.855
2842,298.778
4270,381.595
4271,287.973
4272,172.156
4273,563.938
1739,845.419
4787,656.911
2715,688.257
4294,395.407
3819,656.043
711,609.342
288,1641.997
314,1645.054
271,1659.52
191,1659.316
100,1658.533
110,1663.463
112,1654.001
193,1628.059
2952,676.506
4206,455.682
4136,611.587
6319,505.23
6535,878.149
2311,706.85
1653,530.582
4400,941.698
5345,701.745
7157,674.091
7488,888.577
5836,447.768
7713,499.791
303,1040.851
2843,459.968
188,1145.444
748,637.545
2463,493.206
2003,441.706
2004,276.681
2853,372.812
1032,635.742
1972,270.905
1553,675.697
2854,105.987
3523,527.331
1153,614.609
2233,821.38
2474,706.005
3429,685.959
5159,753.326
6078,650.612
7451,521.56
2571,622.368
3146,724.543
200,647.78
